,Kil,Kit,Koh,Kun,Kor,Ntr,Ten,Aka,Ako,Tot,Hot,Hen,Mal,Mik,Mei
Kil,NA,0.148601399,0.10733945,0.029467085,0.045538178,0.041763341,0.028753994,0.01227295,0.019413093,0.023706897,0.012256267,0.012953368,0.016464891,0.03884415,0.013828868
Kit,0.148601399,NA,0.095054096,0.064403395,0.060030984,0.036285603,0.033859177,0.003680982,0.016774685,0.039956012,0.009532456,0.007698888,0.010917913,0.030964669,0.020940485
Koh,0.10733945,0.095054096,NA,0.059630607,0.085691188,0.020366599,0.021678041,0.022678648,0.014314115,0.039694656,0.00477327,0.020627803,0.012684989,0.025715471,0.014537108
Kun,0.029467085,0.064403395,0.059630607,NA,0.035997882,0.020320856,0.03567681,0.014269406,0.009326425,0.007371007,0.047682119,0.003039514,0.04494382,0.016429354,0.004435683
Kor,0.045538178,0.060030984,0.085691188,0.035997882,NA,0.062882809,0.071629779,0.016302016,0.031885213,0.130451415,0.015797032,0.033723022,0.024162781,0.046153846,0.031825153
Ntr,0.041763341,0.036285603,0.020366599,0.020320856,0.062882809,NA,0.074209246,0.048875433,0.040160643,0.031213873,0.00531401,0.033560091,0.027350427,0.029337804,0.045577443
Ten,0.028753994,0.033859177,0.021678041,0.03567681,0.071629779,0.074209246,NA,0.061754685,0.030087094,0.069555302,0.037511871,0.020526551,0.035774411,0.052848885,0.03047619
Aka,0.01227295,0.003680982,0.022678648,0.014269406,0.016302016,0.048875433,0.061754685,NA,0.074620573,0.018974566,0.016905738,0.009103977,0.008550855,0.033068783,0.027114529
Ako,0.019413093,0.016774685,0.014314115,0.009326425,0.031885213,0.040160643,0.030087094,0.074620573,NA,0.018455744,0.021126761,0.045474614,0.00625,0.021668029,0.039637599
Tot,0.023706897,0.039956012,0.039694656,0.007371007,0.130451415,0.031213873,0.069555302,0.018974566,0.018455744,NA,0.025055928,0.055274262,0.015968064,0.016464132,0.021060276
Hot,0.012256267,0.009532456,0.00477327,0.047682119,0.015797032,0.00531401,0.037511871,0.016905738,0.021126761,0.025055928,NA,0.043902439,0.030808081,0.037018756,0.017945267
Hen,0.012953368,0.007698888,0.020627803,0.003039514,0.033723022,0.033560091,0.020526551,0.009103977,0.045474614,0.055274262,0.043902439,NA,0.030732861,0.037482647,0.029187817
Mal,0.016464891,0.010917913,0.012684989,0.04494382,0.024162781,0.027350427,0.035774411,0.008550855,0.00625,0.015968064,0.030808081,0.030732861,NA,0.146341463,0.051620648
Mik,0.03884415,0.030964669,0.025715471,0.016429354,0.046153846,0.029337804,0.052848885,0.033068783,0.021668029,0.016464132,0.037018756,0.037482647,0.146341463,NA,0.030255403
Mei,0.013828868,0.020940485,0.014537108,0.004435683,0.031825153,0.045577443,0.03047619,0.027114529,0.039637599,0.021060276,0.017945267,0.029187817,0.051620648,0.030255403,NA
